job_role,country,company_name,job_postings_count
Data Engineer,United States of America,Jobs via Dice,5916
Data Engineer,United States of America,Tietalent,3648
Data Engineer,United States of America,Amazon.com,3201
Data Engineer,United States of America,Oracle Corporation,2876
Data Scientist,United States of America,Tietalent,2416
Data Engineer,United States of America,Canonical Ltd.,2241
Data Engineer,United States of America,Capital One Financial Corporation,2223
Data Scientist,United States of America,SynergisticIT,2103
Data Engineer,United States of America,"Amazon Web Services, Inc.",1940
Data Scientist,United States of America,Capital One Financial Corporation,1882
