job_title_standardized,total_job_ocurrences
application developer,18753
staff pharmacist,13734
software development engineer,12824
personal shopper,9135
application lead,7525
operations manager,6675
senior software engineer,6474
member specialist,6412
warehouse team member,6273
pharmacy manager,6177
optician,5911
software engineer,5826
tire & battery technician - automotive,5684
warehouse attendant,5538
cake decorator,5505
area manager,5500
pharmacy tech,5362
cashier,5299
warehouse assistant,5183
warehouse worker,5130
