exploded_core_skills,core_skill_ocurrences
Python (Programming Language),400968
Structured Query Language (SQL),341413
Project Management,333957
Java (Programming Language),318962
Microsoft Office,205557
Software Development,199044
C++,176826
Machine Learning,171270
Data Analysis,156113
Scripting,152961
JavaScript,149003
Marketing,145171
Program Management,132484
Continuous Improvement Strategies,127154
Business Development,126015
Linux,124751
Auditing,114529
DevOps Principles,110685
Debugging,104969
Tableau,100678
