unique_functions,function_occurrence_count
,1194510
IT,768368
ER&D,594442
Management & Strategy,361802
Sales & Marketing,255557
Supply Chain,119090
Retail Operations,91604
Human Resources,88907
Customer Support & Service,87082
Administrative Operations,80289
Finance & Accounting,72855
Financial Services Operations,69882
Healthcare Operations,39676
Procurement,34336
Hospitality Operations,32307
Legal,16443
Manufacturing & Production,12606
Media Operations,11756
Real Estate Operations,6808
Travel & Transport Operations,6781
Construction Operations,810
Agricultural Operations,345
Academic Operations,176
