exploded_tech_skills,tool_ocurrences
Python (Programming Language),400880
Microsoft (unspecified solution),360146
Microsoft Office 365,213550
C#,204219
C++,203801
Amazon Web Services (AWS) (unspecified solution),199621
AWS,199621
SAP (unspecified solution),189257
JavaScript,149004
Google (unspecified solution),142103
Linux,124756
Oracle (unspecified solution),119875
Kubernetes,92083
IBM (unspecified solution),89474
Microsoft Excel,81108
Salesforce (unspecified solution),76675
Microsoft PowerPoint,74978
Hyper Text Markup Language (HTML),69685
git,69635
Docker,64949
