job_role,country,job_postings_count
Data Scientist,United States of America,5
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,4
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,7
Data Scientist,United States of America,52
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,6
Data Scientist,United States of America,16
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,8
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,13
Data Scientist,United States of America,3
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,8
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,16
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,9
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,13
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,7
Data Scientist,United States of America,2
Data Scientist,United States of America,13
Data Scientist,United States of America,2
Data Scientist,United States of America,20
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,6
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,6
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,4
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,3
Data Scientist,United States of America,8
Data Scientist,United States of America,2
Data Scientist,United States of America,12
Data Scientist,United States of America,1
Data Scientist,United States of America,16
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,11
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,50
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,3
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,11
Data Scientist,United States of America,11
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,6
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,24
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,20
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,8
Data Scientist,United States of America,16
Data Scientist,United States of America,17
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,8
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,9
Data Scientist,United States of America,1
Data Scientist,United States of America,24
Data Scientist,United States of America,5
Data Scientist,United States of America,13
Data Scientist,United States of America,6
Data Scientist,United States of America,1
Data Scientist,United States of America,64
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,3
Data Scientist,United States of America,4
Data Scientist,United States of America,6
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,22
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,31
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,4
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,40
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,71
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,7
Data Scientist,United States of America,1
Data Scientist,United States of America,5
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,3
Data Scientist,United States of America,4
Data Scientist,United States of America,1
