job_role,country,company_name
Data Engineer,United States of America,ABB Ltd.
Data Engineer,United States of America,AMN Healthcare
Data Engineer,United States of America,ASSET MARKETING SERVICE INC
Data Engineer,United States of America,AgFirst Farm Credit Bank
Data Engineer,United States of America,Aptara Inc
Data Engineer,United States of America,Aroma360
Data Engineer,United States of America,Assurant Solutions
Data Engineer,United States of America,BayGrape
Data Engineer,United States of America,"Bayview Asset Management, LLC"
Data Engineer,United States of America,Birmingham Women's and Children's NHS Foundation Trust
Data Engineer,United States of America,BlaBlaCar
Data Engineer,United States of America,BlockTXM Inc
Data Engineer,United States of America,Blue Cross and Blue Shield of Vermont
Data Engineer,United States of America,Buyers Products
Data Engineer,United States of America,CK Comms Ltd
Data Engineer,United States of America,CUMMINS CAL PACIFIC LLC
Data Engineer,United States of America,California Independent System Operator
Data Engineer,United States of America,Chord Energy
Data Engineer,United States of America,"Conagra Brands, Inc."
Data Engineer,United States of America,Corewell Health
Data Engineer,United States of America,Crime Stoppers of Houston
Data Engineer,United States of America,"Crossroads Equipment Lease & Finance, Llc"
Data Engineer,United States of America,Curestack
Data Engineer,United States of America,Delta Dental of California
Data Engineer,United States of America,Epiq
Data Engineer,United States of America,Espire Infolabs Pvt. Ltd
Data Engineer,United States of America,Experian
Data Engineer,United States of America,FIGS INC.
Data Engineer,United States of America,Goodyear Tire and Rubber Company
Data Engineer,United States of America,"Hayward Holdings, Inc."
Data Engineer,United States of America,Homebase
Data Engineer,United States of America,"ID.me, Inc."
Data Engineer,United States of America,Info Gravity
Data Engineer,United States of America,"Insurica, Inc."
Data Engineer,United States of America,Israel Discount Bank of New York
Data Engineer,United States of America,Kodiak Building Partners
Data Engineer,United States of America,Leica Biosystems Nussloch GmbH
Data Engineer,United States of America,LightSpeed Solutions
Data Engineer,United States of America,Madison Square Garden Entertainment Corp.
Data Engineer,United States of America,Major International Telecommunications Technology Company
Data Engineer,United States of America,"Minnesota Vikings Football, LLC"
Data Engineer,United States of America,"MuzeData , LLC"
Data Engineer,United States of America,NYC Department of Transportation
Data Engineer,United States of America,NexbyteUS
Data Engineer,United States of America,NuORDER
Data Engineer,United States of America,"O2 Technologies,Inc"
Data Engineer,United States of America,Orbee
Data Engineer,United States of America,PCIC
Data Engineer,United States of America,Padsplit
Data Engineer,United States of America,Palmer College of Chiropractic
Data Engineer,United States of America,Peak ETL
Data Engineer,United States of America,Providence Equity Partners L.L.C.
Data Engineer,United States of America,SAMSON ROPE
Data Engineer,United States of America,"Sev1Tech, LLC."
Data Engineer,United States of America,SharpLink
Data Engineer,United States of America,Sphera
Data Engineer,United States of America,"Spruce Technology, Inc."
Data Engineer,United States of America,Straumann
Data Engineer,United States of America,Striata
Data Engineer,United States of America,SynergisticIT
Data Engineer,United States of America,Technologent
Data Engineer,United States of America,Tekizma
Data Engineer,United States of America,TriStruX
Data Engineer,United States of America,Trinnex
Data Engineer,United States of America,UniCredit S.p.A.
Data Engineer,United States of America,Waltz Health
Data Engineer,United States of America,Wargaming Group Limited
Data Engineer,United States of America,purcellAI
Data Scientist,United States of America,"A-TEK, Inc."
Data Scientist,United States of America,AI Quantitative
Data Scientist,United States of America,Alto Pharmacy
Data Scientist,United States of America,Ariadne Labs
Data Scientist,United States of America,"Arra Finance, LLC"
Data Scientist,United States of America,"Augment Markets, Inc"
Data Scientist,United States of America,Avride
Data Scientist,United States of America,Brookhaven National Laboratory
Data Scientist,United States of America,CDAI
Data Scientist,United States of America,Carvana
Data Scientist,United States of America,Commonwealth of Virginia
Data Scientist,United States of America,Cruise LLC
Data Scientist,United States of America,Digital Dash Development
Data Scientist,United States of America,Dropp
Data Scientist,United States of America,Eastport Analytics
Data Scientist,United States of America,Eighty20 Collective
Data Scientist,United States of America,Empire
Data Scientist,United States of America,Enigma Labs
Data Scientist,United States of America,Equinox
Data Scientist,United States of America,Fact Finders Pro
Data Scientist,United States of America,"FiscalNote, Inc."
Data Scientist,United States of America,Futureproof Technologies
Data Scientist,United States of America,"GPI / Greenman-Pedersen, Inc."
Data Scientist,United States of America,"General Mills, Inc."
Data Scientist,United States of America,Harvey
Data Scientist,United States of America,"HireGenics, Inc."
Data Scientist,United States of America,Horizon Biosciences
Data Scientist,United States of America,"Hugging Face, Inc."
Data Scientist,United States of America,Implenomics
Data Scientist,United States of America,Infraclear
Data Scientist,United States of America,JMI Equity
Data Scientist,United States of America,Kirklin Solutions
Data Scientist,United States of America,Mark III Signs
Data Scientist,United States of America,MediaAlpha
Data Scientist,United States of America,MetroPlus Health Plan
Data Scientist,United States of America,Michelin
Data Scientist,United States of America,"Minerva Surgical, Inc."
Data Scientist,United States of America,Mitsubishi Corporation
Data Scientist,United States of America,N1 Discovery
Data Scientist,United States of America,"NBCUniversal Media, LLC"
Data Scientist,United States of America,Noble Corporation
Data Scientist,United States of America,Oliver Wyman
Data Scientist,United States of America,Orb Intelligence
Data Scientist,United States of America,Photon Commerce
Data Scientist,United States of America,"Phreesia, Inc."
Data Scientist,United States of America,Precise Systems
Data Scientist,United States of America,Real Chemistry
Data Scientist,United States of America,Royal Bank of Canada
Data Scientist,United States of America,Schafer Veterinary Consultants
Data Scientist,United States of America,Scouting America
Data Scientist,United States of America,Skanska AB
Data Scientist,United States of America,Sleeper
Data Scientist,United States of America,Smart Retail
Data Scientist,United States of America,Sonoma Technology | A Spheros Environmental Company
Data Scientist,United States of America,Sprague Energy
Data Scientist,United States of America,TLS Engineering
Data Scientist,United States of America,The J. M. Smucker Company
Data Scientist,United States of America,The Johns Hopkins University Whiting School of Engineering - EP Programs
Data Scientist,United States of America,The SSI Group
Data Scientist,United States of America,Together Labs
Data Scientist,United States of America,Transvoyant
Data Scientist,United States of America,TreeHouse Foods Inc.
Data Scientist,United States of America,Turnbride Technologies
Data Scientist,United States of America,University of Miami
Data Scientist,United States of America,"University of Nevada, Reno"
Data Scientist,United States of America,Virginia State University
Data Scientist,United States of America,Virginia Tech National Security Institute
Data Scientist,United States of America,Wilhelm Layher
Data Scientist,United States of America,"World Wrestling Entertainment, Inc."
Data Engineer,United States of America,1099/W2 Contractor
Data Engineer,United States of America,Abruña Energy Initiative - Cornell University
Data Engineer,United States of America,Aircover
Data Engineer,United States of America,American College of Cardiology Foundation
Data Engineer,United States of America,Ann&Robert H. Lurie Children's Hospital of Chicago
Data Engineer,United States of America,Arcane Systems
Data Engineer,United States of America,Asembia LLC
Data Engineer,United States of America,Aspen Rxhealth
Data Engineer,United States of America,BLOX Digital
Data Engineer,United States of America,Bank of Ireland
Data Engineer,United States of America,Beyond Menu
Data Engineer,United States of America,Cache Creek Casino Resort
Data Engineer,United States of America,Capital
Data Engineer,United States of America,Capital Markets Gateway
Data Engineer,United States of America,ChowNow
Data Engineer,United States of America,Cloud Systems LLC
Data Engineer,United States of America,Cmind AI
Data Engineer,United States of America,Crisis Response Network
Data Engineer,United States of America,DCO Commercial Floors
Data Engineer,United States of America,Digerati Systems Inc.
Data Engineer,United States of America,Ektello
Data Engineer,United States of America,FSB/CITI via Iris software
